Name,X,Y,Z
BRO_232,488242.474,5148144.655,6
BRO_13,487937.99,5148210.732,6
BRO_230,488257.474,5148159.655,6
BRO_152,487642.474,5147949.655,6
BRO_155,487612.474,5147994.655,6
BRO_577,487942.474,5148204.655,6
BRO_228,488242.474,5148174.655,6
BRO_156,487627.474,5147994.655,6
BRO_46,488728.984,5148873.361,6
BRO_128,488677.474,5148519.655,6
BRO_507,488032.474,5147784.655,6
BRO_150,487627.474,5147964.655,6
BRO_116,488677.474,5148549.655,6
BRO_64,488796.97,5148569.908,6
BRO_159,488797.474,5148564.655,6
BRO_496,488002.474,5147769.655,6
BRO_108,488632.474,5148039.655,6
BRO_491,487987.474,5147799.655,6
BRO_494,488002.474,5147784.655,6
BRO_271,488737.474,5148714.655,6
BRO_299,488887.474,5148789.655,6
BRO_263,488737.474,5148744.655,6
BRO_274,488782.474,5148714.655,6
BRO_85,488707.474,5148669.655,6
BRO_268,488752.474,5148729.655,6
BRO_146,488677.474,5148564.655,6
BRO_147,488692.474,5148564.655,6
BRO_264,488752.474,5148744.655,6
BRO_270,488782.474,5148729.655,6
BRO_267,488737.474,5148729.655,6
BRO_269,488767.474,5148729.655,6
BRO_122,488677.474,5148534.655,6
BRO_175,488587.474,5148069.655,6
BRO_286,488872.474,5148819.655,6
BRO_201,488587.474,5148024.655,6
BRO_192,488572.474,5148039.655,6
BRO_144,488692.474,5148579.655,6
BRO_90,488677.474,5148639.655,6
BRO_200,488572.474,5148024.655,6
BRO_88,488692.474,5148654.655,6
BRO_207,488572.474,5148009.655,6
BRO_199,488557.474,5148024.655,6
BRO_107,489217.474,5148654.655,6
BRO_76,489211.094,5148659.004,6
BRO_260,489232.474,5148609.655,6
BRO_490,487972.474,5147799.655,6
BRO_72,489148.385,5148650.001,6
BRO_259,489217.474,5148609.655,6
BRO_204,488527.474,5148009.655,6
BRO_261,489217.474,5148594.655,6
BRO_556,488812.474,5148369.655,6
BRO_206,488557.474,5148009.655,6
BRO_553,488812.474,5148384.655,6
BRO_212,488557.474,5147994.655,6
